어린이날 (5월 5일)	Ngày thiếu nhi
차별	sự phân biệt, sự kỳ thị
법정	pháp định, luật định
어버이날 (5월 8일)	Ngày của cha mẹ
강조하다	khẳng định, nhấn mạnh
카네이션	hoa cẩm chướng
입양의 날 (5월 11일)	Ngày con nuôi
건전하다	 tích cực, lành mạnh
입양	sự nhận con nuôi
활성화	sự phát triển, sự thúc đẩy phát triển
부부의 날 (5월 21일)	Ngày vợ chồng
소중하다	quý báu, rất quý trọng, quan trọng
깨닫다	nhận ra, hiểu được, nhận thức, ý thức, hiểu ra
가족 사랑의 날 (매주 수요일)	Ngày của tình yêu gia đình (thứ 4 hàng tuần)
현대인	con người hiện đại
주중 하루	ngày thường, ngày trong tuần
정시퇴근	sự tan làm đúng giờ
권장하다	khuyến khích, cổ vũ, động viên
