다례 체험	Trải nghiệm trà đạo
무릎을 꿇고 앉다	Ngồi kiểu quỳ gối
다식을 먹다	Ăn bánh trà
차를 우려내다	Pha trà (Ngâm trà trong nước 1 khoảng thời gian ngắn)
차를 올리다	Dâng trà
두 손으로 차를 따르다	Đưa mời trà bằng hai tay
다례 시연을 보다	Xem biểu diễn trà đạo
한복 입기 체험	Trải nghiệm mặc Hanbok
속바지와 속치마를 입다	Mặc quần lót (속바지) và váy lót bên trong (속치마)
허리끈을 매다	Buộc thắt lưng
옷고름을 매다	Buộc dây nơ áo
버선을 신다	Mang tất truyền thống (버선)
마고자를 입다	Mặc áo 마고자 (áo khoác ngoài của đàn ông trong đồ truyền thống Hanbok)
두루마기를 입다	Mặc áo 두루마기 (loại Hanbok có vạt áo dài xuống, chủ yếu mặc khi ra ngoài)
템플스테이	(Temple stay) Việc ở lại chùa trải nghiệm văn hóa, lễ nghi ở chùa
예불을 드리다	Lễ phật, dâng lễ phật, lạy phật
사찰을 순례하다	Hành hương đến chùa
참선하다	Đi tu
공양을 하다	Ăn uống trong phật giáo; cúng dường
108배를 하다	Cúi gập lạy 108 lần
명상을 하다	Thiền định
사물놀이 체험	Trải nghiệm Samulnori (một loại hình diễn tấu truyền thống Hàn Quốc)
사물놀이의 유래를 배우다	Tìm hiểu nguồn gốc của Samulnori
전통 악기를 연주해 보다	Chơi thử/ thử biểu diễn nhạc cụ truyền thống
시범을 보다	Xem thị phạm (Thị phạm là biểu diễn mẫu để người khác làm theo)
채를 잡다:
장단을 익히다	Làm quen nhịp phách, luyện tập nhịp phách
전통 음악을 듣다	Nghe nhạc truyền thống
체험 참가 신청을 하다	Đăng ký tham gia trải nghiệm
문화 탐방을 하다	Khám phá văn hóa
시범을 보고 직접 만들어 보다	Xem thị phạm (xem mẫu) và trực tiếp làm thử
체험 행사가 진행되다	Buổi trải nghiệm/ sự kiện trải nghiệm được tiến hành
가족 단위로 신청하다	Đăng ký theo gia đình
체험 행사에 참가하다	Tham gia sự kiện trải nghiệm/ buổi trải nghiệm
국립중앙박물관	Viện bảo tàng trung ương quốc gia
도자기 체험	Trải nghiệm đồ gốm sứ
한국화 체험	Trải nghiệm Hàn Quốc họa (vẽ)
나전 체험	Trải nghiệm đồ cẩn xà cừ
 인장 체험	Trải nghiệm về con dấu
유물 관람	Xem di tích, di vật
한국문화의 집	Nhà văn hóa Hàn Quốc
한지 공예	Thủ công mỹ nghệ Hanji
장신구 만들기 체험	Trải nghiệm làm đồ trang sức
자수 공예	Thủ công thêu thùa
탈춤 배우기	Học múa mặt nạ
택견 체험	Trải nghiệm võ Teakkyon
잠 깨다	Tỉnh dậy, tỉnh giấc
성의	Thành ý
넘어지다	Vấp ngã
창피하다	Xấu hổ
여러 가지	Nhiều thứ, nhiều loại, cái nọ cái kia...
그러던 어느 날	một ngày kia
막상	Hóa ra, thực ra
참여하다	Tham dự, tham gia
생소하다	Lạ lẫm, mới mẻ
떨리다	Run, run rẩy
드디어	Cuối cùng thì, kết cuộc thì
짐	Hành lý
풀다	Cởi, tháo, mở
놓다	Đặt, để, để lại
법복	Áo cà sa
갈아입다	Thay quần áo
어색하다	Lúng túng, bối rối, cảm thấy ngượng ngạo
편하다	Thoải mái
시원하다	Mát mẻ, thông thoáng
사찰	Chùa, nhà chùa
순례	Sự hành hương, sự thăm thú
다리가 풀리다	Chân bủn rủn
넘어지다	Ngã, bị ngã
힘을 내다	Cố sức
해내다	Đạt được, thực hiện xong, hoàn thành
발우공양	Bình bát cung dưỡng, việc ăn uống trong phật giáo
그릇	Chén, bát, tô
고마움	Lòng biết ơn, sự cảm kích, giá trị
느끼다	Cảm thấy, nhận thấy, cảm nhận
명상	Thiền, thiền định
별로	Một cách đặc biệt, không mấy
눈을 감다	Nhắm mắt
자신	Bản thân
곰곰	Kỹ, sâu
밀려오다	Ùa đến, tràn đến
아쉽다	Tiếc, đáng tiếc
한국문화재보호재	Quỹ bảo vệ di sản văn hóa Hàn Quốc, tổ chức bảo vệ di sản văn hóa Hàn Quốc
알리다	cho biết, cho hay
달력	Lịch
