ID,LessonID,Word,vi,en
23201,117,흐름,"Dòng, mạch, dòng chảy","Flow, circuit, flow"
23202,117,이래,"trước nay, trước giờ, từ...",before now
23203,117,흘러오다,chảy xuống,flow down
23204,117,연표,niên biểu,fasti
23205,117,기원전,trước công nguyên,B.C
23206,117,법전,"bộ luật, điều lệ","Code, rule"
23207,117,반포,ban bố,promulgate
23208,117,건국,"kiến quốc, lập nước","build the country, build a country"
23209,117,제정수립,thành lập chế độ đế vương (Chế độ chính trị của chủ nghĩa đế quốc),establishing imperial regime (The political regime of imperialism)
23210,117,서로마제국,đế quốc Tây La Mã,Western Roman Empire
23211,117,멸망,diệt vong,Eliminated
23212,117,십자군,Thập Tự quân,Crusaders
23213,117,개혁,cải cách,to revolutionize
23214,117,혁명,cuộc cách mạng,revolution
23215,117,선언,"tuyên ngôn, sự tuyên bố","declaration, statement"
23216,117,등장하다,"xuất hiện, ra mắt, ra đời","appearance, launch, birth"
23217,117,청동기,đồ đồng,bronze
23218,117,만주,Mãn Châu,Manchuria
23219,117,삼국유사,Tam Quốc Di Sự,Three Kingdoms Di
23220,117,다스리다,"cai trị, thống trị","rule, rule"
23221,117,환웅,"người sáng lập huyền thoại của 고조선, vương quốc đầu tiên của Hàn Quốc","The legendary founder of 고조선, the first kingdom of Korea"
23222,117,이롭다,"có lợi, có ích, giúp ích",helpful
23223,117,홍익인간,"nhân đạo, chủ nghĩa nhân đạo",humanitarian
23224,117,품다,"ôm, có","hug, yes"
23225,117,허락,sự cho phép,permission
23226,117,신하,hạ thần,lower god
23227,117,무리,"đám, bầy, sự quá mức....","hordes, swarms, excessive ..."
23228,117,이끌다,dẫn dắt. lãnh đạo,lead. leader
23229,117,꼭대기,"đỉnh, chóp","top, tip"
23230,117,신단수,tên cây thiêng trong thần thoại 단군,Sacred tree names in mythology 단군
23231,117,빌다,"cầu, cầu mong","Bridge, pray"
23232,117,쑥,rau ngải cứu,wormwood vegetable
23233,117,동굴,hang động,cave
23234,117,견디다,"cầm cự, chịu đựng","hold on, endure"
23235,117,뛰쳐나가다,"lao ra, phóng ra",rush out
23236,117,아사달,thủ đô của 고조선,the capital of 고조선
23237,117,도읍,đô ấp,capital city
23238,117,엄격하다,nghiêm khắc,strict
23239,117,사형,"tử hình, hành hình","death penalty, execution"
23240,117,처하다,"rơi vào, bị kết tội, bị xử phạt","fall in, be convicted, be punished"
23241,117,갚다,trả,pay
23242,117,노비,nô tì,slave
23243,117,삼다,"lấy làm, dùng làm","Take it, use it"
23244,117,죄를 용서받다,được tha tội,be forgiven
