질서를 지키다	Giữ trật tự 
규칙을 지키다	tuân thủ quy tắc
질서를  어기다/ 위반하다	vi phạm trật tự
규칙을 어기다/ 위반하다	vi phạm quy tắc
다른 사람에게 피해를 주다	gây thiệt hại cho người khác
다른 사람 때문에 피해를 입다	bị thiệt hại vì người khác
공동주택에서	Ở khu nhà tập thể, khu dân cư
이웃에게 피해를 주다	gây tổn hại cho hàng xóm, láng giềng
층간 소음	tiếng ồn giữa các tầng hoặc giữa các nhà xung quanh
아이들이 뛰다	trẻ con nhảy nhót, đùa nghịch
애완동물을 키우다	nuôi thú cưng
운전할 때	Khi lái xe
안전벨트를 매다	Thắt/cài dây an toàn
음주 운전을 하다	Lái xe sau khi uống rượu bia
교통법규를 지키다	tuân thủ luật lệ giao thông
신호를 위반하다	vi phạm tín hiệu (đèn giao thông)
과속을 하다	Chạy quá tốc độ
범칙금을 내다	Nộp phạt vi phạm luật giao thông
유아용 카시트에 앉히다	đặt (đứa trẻ) ngồi ở ghế xe ô tô dành cho trẻ em 
거리에서	Trên đường đi
오른쪽으로 걷다(우측 보행)	Đi bộ phía bên phải
줄을 서다	xếp hàng
새치기를 하다	chen ngang vào hàng
횡단보도로 건너다(무단횡단 하지 않다)	Băng qua đường dành cho người đi bộ
공공장소에서 금연하다	Không (cấm) hút thuốc ở nơi công cộng
침을 뱉다	Nhổ nước bọt
무단 횡단 금지	cấm băng ngang qua đường
쓰레기 무단 투기 금지	cấm vứt rác bừa bãi/
낙서 금지	Cấm viết/ vẽ bậy
흡연 금지	Cấm hút thuốc
출입 금지	Cấm ra vào, qua lại
사진 촬영 금지	Cấm chụp ảnh
운전 중 휴대전화 사용금지	Cấm sử dụng điện thoại trong khi lái xe
전 좌석 안전벨트 착용	Thắt dây an toàn ở hàng ghế trước
안전모 착용	Đội mũ bảo hiểm
괴롭히다	làm đau buồn, gây đau đớn
스토킹	bám đuôi, theo dõi
범칙금	tiền phạt phạm luật (giao thông)
물다	trả, đền, đền bù, bồi thường
물게 되다	bị nộp phạt
달라지다	trở nên khác, khác đi, đổi khác
경범죄	tội nhẹ
조항	điều khoản
처벌	sự xử phạt, hình phạt
처벌 항목	điều khoản xử phạt, hạng mục xử phạt
늘어나다	Tăng lên
허위	sự hư cấu, sự xuyên tạc, sự giả dối, sự làm giả
암표	vé chợ đen
매매	việc mua bán, sự mua bán
등록제	Quy chế đăng ký
생후	hậu sinh, sau sinh
애완견을 기르다	nuôi chó cưng
관공서	cơ quan nhà nước, cơ quan công
지정하다	chỉ định
대행 기관	cơ quan thi hành
과태료	tiền phạt, tiền phạt vi cảnh
부과되다	bị bắt phạt, bị bắt đóng phí, bị đánh thuế
요금 총액	tổng số tiền chi phí, cước phí
외부	ngoài, bên ngoài
주최하다	bảo trợ, đỡ đầu 
독자	Độc giả
예절	lễ tiết, nghi thức giao tiếp, lễ nghi phép tắc
요구하다	yêu cầu
버릇	thói quen, lễ phép
고치다	Chỉnh sửa, sửa chữa
진동	rung, chấn động
의견	Ý kiến
놀이터	sân chơi, khu vui chơi
애완견	chó cưng, cún yêu
목줄을 매다	buộc dây cổ
배설물	chất thải, phân
치우다	Cất, dọn, thu dọn
법규	pháp quy
흔히	thường, thường hay
저지르다	gây ra, tạo ra (lỗi, sai trái), phạm lỗi
가벼운	nhẹ
범죄	sự phạm tội
경범죄	tội nhẹ, tội vi cảnh
타인	người khác
평화롭다	thanh bình, yên bình
물론	sự tất nhiên, sự đương nhiên
